stud,lines,functions,variables,conditionals,nestinglevels,assignments,branches,comparisons
s734,8,8,4,1,2,3,0,5
s735,2,2,17,2,6,8,0,7
s736,22,22,5,12,19,9,0,7
s737,5,5,5,7,14,4,0,6
s738,13,13,11,16,12,5,0,6
s739,3,3,14,8,10,4,0,6
s740,5,5,1,2,13,8,1,7
s741,17,17,8,14,6,6,0,7
s742,3,3,3,7,13,11,0,8
s743,1,1,1,2,1,4,2,3
s744,5,5,11,8,12,3,0,5
s745,11,11,10,5,3,4,0,6
s746,8,8,9,1,3,6,1,4
s747,16,16,7,8,6,4,0,6
s748,14,14,19,20,1,5,0,7
s749,4,4,11,11,18,4,0,6
s750,15,15,7,4,3,4,0,6
s751,8,8,13,7,8,6,0,6
s752,13,13,2,6,9,3,0,5
s753,3,3,13,17,1,5,0,10
s754,7,7,5,7,9,4,2,5
s755,6,6,1,9,5,5,1,6
s756,11,11,3,14,19,5,0,6
s757,5,5,9,11,12,5,4,2
s758,9,9,21,21,16,9,0,7
s759,15,15,16,15,2,5,0,7
s760,4,4,5,17,16,5,1,6
s761,2,2,12,16,5,11,0,9
s762,7,7,3,13,6,5,1,6
s763,14,14,16,18,16,7,1,6
s764,14,14,11,4,15,7,1,10
s765,7,7,19,18,10,5,2,5
s766,26,26,19,2,20,12,3,5
s767,5,5,3,7,8,4,2,3
s768,7,7,10,8,5,4,0,6
s769,28,28,29,1,13,11,3,7
s770,13,13,7,7,13,4,0,6
s771,5,5,4,15,13,4,0,6
s772,3,3,11,4,1,4,2,3
s773,9,9,6,23,10,6,0,10
s774,9,9,4,7,9,5,0,5
s775,16,16,11,16,19,4,2,7
s776,12,12,6,12,17,6,0,5
s777,11,11,4,12,13,4,1,6
s778,7,7,23,1,4,7,0,10
s779,14,14,10,14,15,4,0,6
s780,7,7,10,2,5,5,3,2
s781,12,12,8,4,8,4,0,6
s782,3,3,18,12,17,6,0,9
s783,18,18,7,31,11,6,3,4
s784,4,4,4,2,12,5,2,5
s785,9,9,5,15,10,5,0,6
s786,4,4,1,7,3,5,0,8
s787,2,2,14,13,14,3,0,6
s788,5,5,13,13,16,6,0,7
s789,20,20,6,22,16,6,1,11
s790,6,6,10,8,15,4,0,5
s791,12,12,11,13,1,4,0,6
s792,2,2,6,3,15,5,1,6
s793,14,14,5,1,5,4,0,6
s794,6,6,1,2,18,4,0,6
s795,7,7,3,1,8,4,0,6
s796,2,2,13,8,16,4,0,6
s797,23,23,28,8,26,8,2,6
s798,9,9,16,13,16,14,0,6
s799,17,17,12,9,14,4,0,6
s800,7,7,6,20,14,5,0,7
s801,1,1,1,4,1,6,0,7
s802,19,19,10,7,9,4,0,6
s803,1,1,25,35,34,6,0,10
s804,6,6,13,9,16,4,2,5
s805,16,16,3,19,9,5,0,7
s806,12,12,12,4,5,4,0,6
s807,11,11,15,6,12,4,0,4
s808,15,15,3,4,12,4,0,7
s809,11,11,6,18,2,5,1,5
s810,16,16,2,10,6,8,1,7
s811,1,1,1,2,13,2,0,6
s812,11,11,5,11,6,4,2,3
s813,1,1,10,1,3,3,0,5
s814,7,7,15,12,5,4,0,6
s815,1,1,9,14,6,3,1,5
s816,8,8,15,10,5,7,0,6
s817,15,15,3,20,19,4,0,6
s818,12,12,11,14,10,3,0,5
s819,12,12,15,18,6,4,0,6
s820,11,11,30,22,24,8,1,5
s821,10,10,13,15,8,4,0,6
s822,9,9,15,16,13,5,0,5
s823,11,11,1,7,14,2,1,6
s824,14,14,4,12,14,8,0,7
s825,10,10,8,4,11,4,1,2
s826,6,6,2,4,7,4,0,6
s827,12,12,9,13,2,4,0,7
s828,20,20,6,18,5,4,0,6
s829,3,3,13,16,10,9,0,8
s830,12,12,4,5,2,4,0,6
s831,13,13,5,9,6,6,1,6
s832,4,4,6,1,5,4,0,6
s833,14,14,5,11,1,3,2,4
s834,2,2,1,7,8,4,0,6
s835,18,18,14,16,6,4,0,6
s836,5,5,10,4,7,7,2,3
s837,15,15,19,12,16,6,0,7
#from 837 files,,,,,,,,
